camis,dba,boro,building,street,zipcode,phone,cuisine,latitude,longitude,nta_code,community_board,council_district,never_inspected,n_inspections,first_inspection,last_inspection,avg_score,latest_score,latest_grade,total_violations,total_critical,ever_closed
40360045,SEUDA FOODS,Brooklyn,705,KINGS HIGHWAY,11223,7183751500,JEWISH/KOSHER,40.60618692143,-73.9654664459,BK25,315,44,false,3,2023-01-31,2026-01-02,7.67,5,A,7,1,false
40361618,SAL'S DELI,Queens,129-08,20 AVENUE,11356,7186619498,SANDWICHES,40.78167383607,-73.83941597683,QN23,407,19,false,3,2023-04-26,2025-12-02,12.0,11,A,9,4,false
40361757,POPAL FRIED CHICKEN INC.,Brooklyn,702,ROCKWAY AVENUE,,,UNKNOWN,,,,,,true,,,,,,,,,false
40362222,BURLINGTON INDUSTRIE,Manhattan,1345,AVENUE OF AMERICAS,10105,,UNKNOWN,40.76259829049,-73.97845995577,MN17,105,6,true,,,,,,,,,false
40362264,P & S DELI GROCERY,Manhattan,730,COLUMBUS AVENUE,10025,2129323030,AMERICAN,40.79262063589,-73.96770961573,MN12,107,7,false,4,2022-08-16,2025-03-27,12.5,13,A,11,7,false
40362274,ANGELIKA FILM CENTER,Manhattan,18,WEST HOUSTON STREET,10012,2129952570,AMERICAN,40.72574361744,-73.99747810759,MN23,102,1,false,2,2022-02-14,2023-06-21,9.0,11,A,5,2,false
40362432,HO MEI,Queens,103-05,37 AVENUE,11368,7187796903,CHINESE,40.75330591158,-73.86429537578,QN26,403,21,false,3,2024-03-27,2026-06-22,13.67,5,A,9,5,false
40362869,SHASHEMENE INT'L RESTAURANT,Brooklyn,195,EAST 56 STREET,11203,3474300871,CARIBBEAN,40.65198322279,-73.92457494415,BK96,317,45,false,2,2024-10-18,2026-08-07,8.0,7,A,4,0,false
40363123,MALCOLM SOUL FOOD,Brooklyn,238,MALCOLM X BOULEVARD,11221,,UNKNOWN,40.68494289408,-73.92947364466,BK35,303,36,true,,,,,,,,,false
40363298,CAFE METRO,Manhattan,625,8 AVENUE,10018,2127149342,AMERICAN,40.75618542308,-73.99056473379,MN15,104,3,false,4,2022-08-19,2025-05-01,13.25,13,A,11,8,false
40363427,BAGELS N BUNS,Staten Island,2491,VICTORY BOULEVARD,10314,7187611900,SANDWICHES,40.61026786383,-74.14640121029,SI07,501,50,false,4,2024-04-29,2026-07-17,16.25,7,A,13,9,false
40363834,CARVEL,Staten Island,1111,HYLAN BOULEVARD,10305,7188167807,FROZEN DESSERTS,40.59855313075,-74.07964600818,SI14,502,50,false,3,2023-10-30,2025-11-17,12.67,17,A,8,4,false
40363920,NEW GOLDEN BILLION,Brooklyn,976,RUTLAND ROAD,11212,7187357707,CHINESE,40.66214059458,-73.92718021322,BK96,317,41,false,3,2023-04-26,2025-12-09,5.0,3,A,4,1,false
40364179,MISS MAIME'S SPOONBREAD TOO,Manhattan,364,WEST 110 STREET,10025,2128656744,SOUL FOOD,40.80137126967,-73.96015994361,MN09,107,7,false,2,2024-07-10,2026-04-08,15.5,19,A,7,2,false
40364220,KOSHER BAGEL HOLE,Brooklyn,1423,AVENUE J,11230,7182584150,JEWISH/KOSHER,40.62511112873,-73.96203433937,BK43,314,44,false,5,2023-11-01,2026-04-29,12.75,5,A,12,4,false
40364296,HAPPY GARDEN,Bronx,277,EAST KINGSBRIDGE ROAD,10458,7182955588,CHINESE,40.86364881219,-73.89423961734,BX05,207,15,false,4,2023-03-20,2025-03-20,30.0,11,A,16,9,false
40364335,PETER LUGER STEAKHOUSE,Brooklyn,178,BROADWAY,11211,7183877400,STEAKHOUSE,40.70997980456,-73.96251243733,BK73,301,34,false,2,2024-09-30,2026-04-06,12.5,13,A,4,3,false
40364347,METROPOLITAN CLUB,Manhattan,1,EAST 60 STREET,10022,2128387400,AMERICAN,40.76479552185,-73.97230783434,MN40,108,4,false,4,2023-06-28,2026-03-05,9.5,7,A,13,7,false
40364373,ISLE OF CAPRI,Manhattan,1028,3 AVENUE,10065,2127581902,ITALIAN,40.76270773611,-73.96574957601,MN40,108,4,false,2,2024-09-10,2026-03-28,21.5,17,N,8,4,false
40364389,OLD TOWN BAR,Manhattan,45,EAST 18 STREET,10003,2125296732,AMERICAN,40.73759507351,-73.98964720852,MN13,105,2,false,3,2024-02-07,2026-04-23,10.33,12,A,9,4,false
40364439,SEVILLA,Manhattan,62,CHARLES STREET,10014,2129293189,SPANISH,40.73490837812,-74.00297328507,MN23,102,3,false,3,2023-05-17,2026-03-18,21.33,13,A,14,6,false
40364443,CRIMINAL COURT BLDG CAFETERIA,Manhattan,100,CENTRE STREET,10013,9176702199,AMERICAN,40.71607656565,-74.00142489623,MN27,101,1,false,5,2024-02-02,2026-07-23,18.8,15,Z,18,10,false
40364449,GOTTSCHEER HALL,Queens,657,FAIRVIEW AVENUE,11385,7183663030,GERMAN,40.70664797261,-73.90573574011,QN20,405,30,false,3,2024-09-13,2025-11-06,19.0,13,A,15,7,false
40364467,NYAC MAIN DINING ROOM,Manhattan,180,CENTRAL PARK SOUTH,10019,2127677085,AMERICAN,40.76671822299,-73.97873659477,MN17,105,4,false,3,2024-04-25,2026-06-29,10.33,2,A,8,2,false
40364518,7B BAR,Manhattan,108,AVENUE B,10009,2126776742,AMERICAN,40.72498456242,-73.98128264905,MN22,103,2,false,3,2022-09-28,2025-06-30,10.67,10,A,9,5,false
40364531,CAFE ATELIER (ART STUDENTS LEAGUE),Manhattan,215,WEST 57 STREET,10019,2122474510,AMERICAN,40.76588694132,-73.98089566547,MN17,105,4,false,3,2024-03-04,2026-07-24,9.0,5,A,5,4,false
40364572,DONOHUE'S STEAK HOUSE,Manhattan,845,LEXINGTON AVENUE,10065,2127440938,STEAKHOUSE,40.76551288451,-73.965769788,MN40,108,4,false,2,2024-10-23,2026-06-08,11.0,12,A,5,2,false
40364581,JUNIOR'S,Brooklyn,386,FLATBUSH AVENUE EXTENSION,11201,7188525257,AMERICAN,40.69020014589,-73.98162419647,BK38,302,33,false,6,2024-06-10,2026-06-15,33.83,27,Z,36,19,false
40364691,THE GEORGIAN SUITE KITCHEN,Manhattan,1A,EAST 77 STREET,10075,2127341468,CONTINENTAL,40.77557750181,-73.96444312656,MN40,108,4,false,1,2026-04-02,2026-04-02,7.0,7,A,2,1,false
40364715,OLD HOMESTEAD,Manhattan,56,9 AVENUE,10011,2122429040,AMERICAN,40.74137222436,-74.0050377551,MN13,104,3,false,1,2026-05-05,2026-05-05,12.0,12,A,2,1,false
40364744,NEW PARK PIZZERIA & RESTAURANT,Queens,156-71,CROSSBAY BOULEVARD,11414,7186413082,PIZZA,40.66310170331,-73.84083793281,QN57,410,32,false,3,2022-10-31,2025-07-21,15.33,13,A,8,4,false
40364858,DOUGLASTON CLUB,Queens,600,WEST DRIVE,11363,7182293900,AMERICAN,40.77632972251,-73.7528354427,QN45,411,19,false,3,2017-08-16,2019-11-20,9.0,5,A,8,2,false
40364956,THE NEW STARLING ATHLETIC CLUB OF THE BRONX,Bronx,2222,HAVILAND AVENUE,10462,7188229004,AMERICAN,40.83061012212,-73.84964668267,BX59,209,18,false,2,2023-08-10,2025-05-12,12.0,12,A,5,2,false
40365013,CRYSTAL ROOM,Staten Island,67,OLYMPIA BOULEVARD,10305,7184478926,ITALIAN,40.59281417768,-74.07067712127,SI36,502,50,false,3,2023-06-07,2026-05-20,6.0,2,A,5,2,false
40365075,MCSORLEY'S OLD ALE HOUSE,Manhattan,15,EAST 7 STREET,10003,2122542570,IRISH,40.72858400079,-73.98953676548,MN22,103,2,false,3,2022-10-17,2025-06-26,15.33,12,A,10,5,false
40365120,SOUTH SHORE SWIMMING CLUB,Staten Island,6736,HYLAN BOULEVARD,10309,7182274285,AMERICAN,40.5080685179,-74.22828214507,SI11,503,51,false,2,2024-07-08,2026-07-20,16.5,21,A,6,4,false
40365166,CORNER BISTRO,Manhattan,331,WEST 4 STREET,10014,2122429502,AMERICAN,40.73792484731,-74.00386111603,MN23,102,3,false,3,2023-05-16,2025-06-10,24.67,10,A,15,9,false
40365239,DORRIAN'S RED HAND,Manhattan,1616,2 AVENUE,10028,2127726660,AMERICAN,40.77640496626,-73.95280206566,MN32,108,5,false,4,2023-03-16,2025-11-25,23.5,13,A,18,12,false
40365387,ARTURO'S,Manhattan,106,WEST HOUSTON STREET,10012,2126773820,ITALIAN,40.72723405204,-74.00051593521,MN23,102,1,false,2,2023-03-20,2026-03-04,8.0,9,A,4,2,false
40365499,YANKEE TAVERN,Bronx,72,EAST 161 STREET,10451,7182926130,AMERICAN,40.82755786104,-73.92514119688,BX63,204,16,false,5,2023-03-23,2025-07-31,20.0,12,A,22,11,false
40365525,DONUT PUB,Manhattan,203,WEST 14 STREET,10011,2129290126,DONUTS,40.73874834127,-74.00014434258,MN13,104,3,false,6,2024-01-16,2025-08-11,24.2,7,A,24,10,false
40365546,REBEN LUNCHEONETTE,Brooklyn,229,HAVEMEYER STREET,11211,7183887696,SPANISH,40.70903994516,-73.95915129023,BK73,301,34,false,9,2023-10-10,2026-08-05,22.57,26,A,28,18,true
40365577,V & T PIZZERIA,Manhattan,1024,AMSTERDAM AVENUE,10025,2126631708,ITALIAN,40.80332942053,-73.96361191495,MN09,109,7,false,3,2023-06-05,2026-02-02,16.0,10,A,8,4,false
40365627,JAHN'S,Queens,81-04,37 AVENUE,11372,7186510700,AMERICAN,40.74965336582,-73.88507356733,QN28,403,25,false,4,2024-03-11,2026-04-14,15.0,12,A,13,7,false
40365632,J&V FAMOUS PIZZA,Brooklyn,6322,18 AVENUE,11204,7182322700,PIZZA,40.61995673252,-73.98935214063,BK28,311,38,false,7,2022-08-16,2025-03-27,18.86,11,A,20,11,false
40365644,JOE ALLEN,Manhattan,326,WEST 46 STREET,10036,2125816464,AMERICAN,40.76017889667,-73.98888203174,MN15,104,3,false,3,2024-05-28,2026-08-05,12.67,13,A,8,6,false
40365726,BARBETTA,Manhattan,319321,323 W. 46TH ST.,,2122469171,ITALIAN,,,,,,false,2,2022-10-26,2024-07-11,17.0,13,A,5,5,false
40365784,GARGIULO'S,Brooklyn,2911,WEST 15 STREET,11224,7182664891,ITALIAN,40.57655533187,-73.98258432315,BK21,313,47,false,2,2024-02-23,2026-03-28,9.5,7,A,4,2,false
40365789,PATSY'S ITALIAN RESTAURANT,Manhattan,236,WEST 56 STREET,10019,2122473491,ITALIAN,40.76561819528,-73.98239751366,MN17,105,3,false,5,2023-12-28,2026-04-29,21.0,27,Z,14,7,false
40365841,PARK SIDE,Queens,107-01,CORONA AVENUE,11368,7182719871,ITALIAN,40.74372510483,-73.85623838292,QN25,404,21,false,4,2023-05-24,2025-10-02,27.75,27,B,20,14,false
40365844,LAVELLE'S ADMIRALS CLUB,Queens,45-15,BROADWAY,11103,3475071821,IRISH,40.75700231296,-73.91479999981,QN70,401,22,false,2,2024-06-26,2026-04-01,7.5,5,A,2,2,false
40365882,NEW YORK PIZZA SUPREMA,Manhattan,413,8 AVENUE,10001,2125948939,PIZZA,40.75003195155,-73.99504098942,MN13,104,3,false,4,2023-07-17,2026-03-26,25.25,41,A,19,9,false
40365904,MEE SUM CAFE,Manhattan,26,PELL STREET,10013,2123495260,COFFEE/TEA,40.71486062793,-73.99819997419,MN27,103,1,false,11,2023-12-13,2026-07-13,34.0,25,B,55,32,false
40365938,NANCY'S RESTAURANT,Queens,255-41,JAMAICA AVENUE,11001,7183434616,AMERICAN,40.72741270333,-73.70962096637,QN44,413,23,false,3,2023-01-12,2025-04-24,32.67,28,Z,15,9,true
40365942,HOP KEE,Manhattan,21,MOTT STREET,10013,2129648365,CHINESE,40.71436383248,-73.9987843604,MN27,103,1,false,9,2022-01-13,2025-01-06,20.67,10,A,33,22,true
40365968,NANCY WHISKEY PUB,Manhattan,1,LISPENARD STREET,10013,2122269943,AMERICAN,40.72053945767,-74.00501092128,MN24,101,1,false,4,2024-04-17,2026-04-30,17.0,28,A,11,5,false
40365972,THE BLARNEY BAR,Queens,146-09,JAMAICA AVENUE,11435,7185231983,AMERICAN,40.70180334165,-73.80867560901,QN61,412,27,false,3,2024-04-16,2026-04-08,16.33,12,A,11,6,false
40366002,MARGHERITA PIZZA,Queens,163-04,JAMAICA AVENUE,11432,7186575780,PIZZA,40.70466771305,-73.79682288244,QN61,412,27,false,6,2024-05-24,2026-08-06,17.17,9,C,19,12,false
40366054,HEALY'S PUB,Queens,10807,ROCKAWAY BEACH BOULEVARD,11694,7184749600,AMERICAN,40.58173375367,-73.83028282945,QN10,414,32,false,2,2024-07-22,2026-06-03,8.5,13,A,4,1,false
40366132,DENINO'S PIZZERIA TAVERN,Staten Island,524,PORT RICHMOND AVENUE,10302,7184429401,PIZZA,40.63002441202,-74.14016886924,SI28,501,49,false,4,2023-03-08,2025-12-03,16.75,10,A,12,7,false
40366154,MICHAEL'S RESTAURANT,Brooklyn,2929,AVENUE R,11229,7189987851,ITALIAN,40.60741858616,-73.94300363192,BK44,315,48,false,2,2024-01-31,2025-06-05,11.5,12,A,5,2,false
40366222,KILLARNEY ROSE,Manhattan,80,BEAVER STREET,10005,2124221486,IRISH,40.70533870686,-74.00869226491,MN25,101,1,false,3,2022-10-14,2025-03-06,12.67,9,A,10,4,false
40366230,DON PEPPE,Queens,135-58,LEFFERTS BOULEVARD,11420,7188457587,ITALIAN,40.67025823756,-73.82097608239,QN55,410,28,false,4,2022-11-22,2025-09-24,20.0,13,A,14,6,false
40366356,BLARNEY CASTLE,Queens,202-24,ROCKAWAY POINT BOULEVARD,11697,7186344503,AMERICAN,40.56077578919,-73.91178339747,QN10,414,32,false,3,2021-08-05,2024-07-22,11.33,13,A,7,4,false
40366471,ROLL-N-ROASTER,Brooklyn,2901,EMMONS AVENUE,11235,7187695831,AMERICAN,40.58386660862,-73.93969005742,BK17,315,48,false,4,2023-05-01,2026-03-03,5.67,3,A,5,1,false
40366473,TIO PEPE,Manhattan,168,WEST 4 STREET,10014,2122426480,SPANISH,40.7320565971,-74.00144328026,MN23,102,3,false,2,2023-12-05,2026-05-28,17.5,23,A,7,5,false
40366487,BRENNAN & CARR,Brooklyn,3432,NOSTRAND AVENUE,11229,7187691254,AMERICAN,40.6003858839,-73.94189333042,BK17,315,46,false,4,2023-06-26,2026-06-08,9.0,12,A,9,2,false
40366497,THE PUNCH BOWL,Bronx,5820,BROADWAY,10463,6463599068,AMERICAN,40.88520606228,-73.90057393055,BX29,208,11,false,3,2024-01-31,2026-05-18,15.67,12,A,10,5,false
40366543,JARDIN DE CHINA,Queens,37-37,JUNCTION BOULEVARD,11368,7184763755,CHINESE/CUBAN,40.75075480457,-73.87036047557,QN26,403,21,false,5,2024-01-30,2026-02-04,32.6,25,Z,28,15,true
40366574,BLARNEY STONE,Manhattan,11,TRINITY PLACE,10006,6466698197,IRISH,40.70652394113,-74.0138465563,MN25,101,1,false,3,2022-09-13,2025-01-14,8.67,9,A,6,2,false
40366652,FASCATI'S PIZZERIA,Brooklyn,80,HENRY STREET,11201,7182371278,PIZZA,40.69844392868,-73.99254562394,BK09,302,33,false,2,2024-06-13,2026-03-26,4.5,5,A,2,1,false
40366879,LA FUSTA,Queens,80-32,BAXTER AVENUE,11373,7184298222,LATIN AMERICAN,40.74470679537,-73.88456967066,QN29,404,25,false,3,2024-05-06,2026-06-16,17.0,16,A,9,7,false
40366928,RICHMOND COUNTY COUNTRY CLUB,Staten Island,135,FLAGG PLACE,10304,7183510600,AMERICAN,40.58793589848,-74.10407271454,SI24,502,50,false,2,2024-06-17,2026-03-11,11.5,12,A,6,3,false
40366929,LITTLE BROWN JUG,Queens,124-02,JAMAICA AVENUE,11418,7188469609,AMERICAN,40.70079409423,-73.82644779132,QN54,409,29,false,11,2015-10-25,2018-08-28,19.78,40,C,27,16,true
40366938,LULU'S COFFEE SHOP,Bronx,1191,CASTLE HILL AVENUE,10462,7188223568,COFFEE/TEA,40.8317070369,-73.8509993059,BX59,209,18,false,9,2023-12-05,2026-07-02,22.5,13,A,42,22,false
40367005,DA VINCI PIZZA,Brooklyn,6514,18 AVENUE,11204,7182325855,PIZZA,40.61897967707,-73.99034286486,BK28,311,38,false,4,2022-08-18,2025-06-05,15.75,12,A,15,8,false
40367161,MARINA DEL REY,Bronx,2894,SCHURZ AVENUE,10465,7189316500,AMERICAN,40.81453854978,-73.81505543619,BX52,210,13,false,3,2022-04-14,2025-01-02,13.0,10,A,8,5,false
40367189,KENN'S BROOME STREET BAR,Manhattan,363,WEST BROADWAY,10013,2129252086,AMERICAN,40.72311686096,-74.00312428099,MN24,102,1,false,3,2022-12-13,2025-11-12,10.0,8,A,8,4,false
40367232,O'HANLONS,Queens,22-57,31 STREET,11105,7187289619,IRISH,40.7749482668,-73.91211959661,QN72,401,22,false,3,2024-04-01,2026-02-25,13.0,24,A,8,2,false
40367240,CHARLIE'S SPORTS BAR,Queens,44-08,60 STREET,11377,7184781903,IRISH,40.74201052766,-73.90448019436,QN63,402,26,false,2,2024-10-15,2026-07-25,6.0,12,A,3,1,false
40367241,JG MELON,Manhattan,1291,3 AVENUE,10021,2127440585,AMERICAN,40.77119250092,-73.95953181829,MN31,108,4,false,5,2022-04-05,2025-01-28,14.4,9,A,13,8,false
40367338,"TAP ROOM, GRAB & GO",Manhattan,180,CENTRAL PARK SOUTH,10019,2127677085,AMERICAN,40.76671822299,-73.97873659477,MN17,105,4,false,4,2024-07-08,2026-06-15,12.0,13,A,9,4,false
40367339,COCKTAIL LOUNGE (NYAC),Manhattan,180,CENTRAL PARK SOUTH,10019,2127677000,AMERICAN,40.76671822299,-73.97873659477,MN17,105,4,false,2,2023-12-14,2026-05-27,3.0,4,A,3,0,false
40367365,THE FLAME DINER,Manhattan,893,9 AVENUE,10019,2127657962,AMERICAN,40.76843198493,-73.9853426732,MN15,104,6,false,3,2023-01-20,2025-12-11,11.33,11,A,6,4,false
40367373,JACKSON HOLE,Manhattan,232,EAST 64 STREET,10065,2123717187,HAMBURGERS,40.76430996743,-73.96345642747,MN31,108,4,false,2,2024-12-09,2026-05-11,11.5,10,A,6,3,false
40367377,ZUM STAMMTISCH,Queens,69-46,MYRTLE AVENUE,11385,7183863014,GERMAN,40.70186889553,-73.88159658333,QN19,405,32,false,5,2023-02-02,2025-10-08,14.0,10,A,16,6,false
40367422,S. C. A. FOOD CORP.,Manhattan,55,ANN STREET,10038,,UNKNOWN,40.71022178791,-74.00667658321,MN25,101,1,true,,,,,,,,,false
40367442,BUDDY'S WONDER BAR,Staten Island,17,HARRISON AVENUE,10302,7184429768,AMERICAN,40.63675542082,-74.13493704723,SI28,501,49,false,2,2024-01-25,2026-06-27,14.5,17,A,6,4,false
40367728,MIMI'S,Manhattan,984,SECOND AVENUE,10022,2126884692,ITALIAN,40.75621689872,-73.9675288076,MN19,106,4,false,3,2022-10-18,2025-10-01,12.0,12,A,8,4,false
40367749,LENNY'S CLAM BAR,Queens,161-03,CROSSBAY BOULEVARD,11414,7188455100,SEAFOOD,40.65555093561,-73.83896749314,QN57,410,32,false,4,2023-02-22,2026-01-30,14.25,13,A,14,6,false
40367752,GRIFFIS FACULTY CLUB,Manhattan,521,EAST 68 STREET,10065,6469623939,AMERICAN,40.76415611239,-73.95528359282,MN31,108,5,false,3,2024-10-18,2026-06-17,15.67,11,A,10,4,false
40367789,DANI PIZZA AND RESTAURANT,Queens,81-28,LEFFERTS BOULEVARD,11415,7188462849,PIZZA,40.70887517322,-73.83042316869,QN60,409,29,false,2,2024-07-02,2026-05-28,9.0,10,A,4,2,false
40367790,MCDONALD'S,Brooklyn,943,FLATBUSH AVENUE,11226,7186935353,HAMBURGERS,40.64872319254,-73.9582982532,BK95,314,40,false,5,2024-02-01,2026-03-04,12.25,13,A,12,5,false
40367841,CAFE FIORELLO,Manhattan,1900,BROADWAY,10023,2125955330,ITALIAN,40.7715111492,-73.98215044646,MN14,107,6,false,3,2022-03-21,2025-02-03,10.33,6,A,9,2,false
40367860,L&B SPUMONI GARDENS,Brooklyn,2725,86 STREET,11223,7184491230,PIZZA,40.59439351829,-73.98135900417,BK29,315,43,false,3,2023-10-11,2026-06-24,18.67,13,A,11,7,false
40367870,AMORE PIZZERIA & RESTAURANT,Queens,30-27,STRATTON STREET,11354,7184450579,PIZZA,40.76965881073,-73.83469396831,QN22,407,20,false,4,2023-03-09,2025-10-07,11.5,8,A,15,7,false
40368018,THE PATIO,Bronx,2300,SOUTHERN BOULEVARD,10460,7182205069,AMERICAN,40.850536752,-73.88245508146,BX99,227,15,false,1,2026-05-13,2026-05-13,2.0,2,A,1,0,false
40368021,ZOO BREWS-BRONX ZOO,Bronx,2300,SOUTHERN BOULEVARD,10460,7182207937,AMERICAN,40.850536752,-73.88245508146,BX99,227,15,false,2,2024-05-22,2026-06-24,6.0,0,A,3,1,false
40368022,GRIZZLY GROUNDS,Bronx,2300,SOUTHERN BOULEVARD,10460,3474468151,COFFEE/TEA,40.850536752,-73.88245508146,BX99,227,15,false,3,2017-06-13,2019-05-29,6.67,8,A,4,2,false
40368025,THE PECKING ORDER (THE BRONX ZOO),Bronx,2300,SOUTHERN BOULEVARD,10460,7187418295,AMERICAN,40.850536752,-73.88245508146,BX99,227,15,false,3,2024-05-21,2026-03-18,7.0,3,A,5,2,false
40368026,SOMBA VILLAGE (BABOON CAFE),Bronx,2300,SOUTHERN BOULEVARD,10460,7187418295,AFRICAN,40.850536752,-73.88245508146,BX99,227,15,false,3,2017-06-14,2019-05-22,5.0,8,A,3,2,false
40368034,ROADHOUSE RESTAURANT,Staten Island,1402,CLOVE ROAD,10301,7184470033,ITALIAN,40.61336684985,-74.10045672544,SI07,501,49,false,4,2023-09-11,2026-04-21,9.0,7,A,7,5,false
40368207,MILL BASIN KOSHER DELI,Brooklyn,5823,AVENUE T,11234,7182414910,JEWISH/KOSHER,40.61531417746,-73.91841051909,BK58,318,46,false,4,2023-11-16,2025-11-20,16.5,10,A,12,8,false
40368223,OYSTER BAR,Manhattan,,GRAND CENTRAL TERMINAL,10017,2124906650,SEAFOOD,,,,,,false,2,2024-01-18,2025-10-07,8.0,11,A,5,1,false
40368271,CHERRY TAVERN,Manhattan,441,EAST 6 STREET,10009,2127771448,AMERICAN,40.72599520843,-73.98519690442,MN22,103,2,false,4,2023-05-16,2026-01-21,13.5,13,A,11,7,false
40368291,COLONNADE DINER,Staten Island,2001,HYLAN BOULEVARD,10306,7183512900,AMERICAN,40.58116390566,-74.0985432912,SI45,502,50,false,7,2023-08-30,2026-03-07,22.86,12,A,24,13,false
40368313,RED FLAME DINER,Manhattan,67,WEST 44 STREET,10036,2128693965,AMERICAN,40.75562720334,-73.98193815027,MN17,105,4,false,6,2023-04-05,2026-03-31,17.5,4,A,21,14,false
40368318,MAGGIE'S PLACE,Manhattan,21,EAST 47 STREET,10017,2127535757,AMERICAN,40.75615887998,-73.97738641173,MN17,105,4,false,4,2023-10-24,2025-12-23,14.0,12,A,14,5,false
40368338,BRADY'S,Manhattan,1583,2 AVENUE,10028,2128616070,AMERICAN,40.77543362087,-73.95353209001,MN32,108,5,false,3,2024-05-08,2026-05-26,10.67,7,A,9,4,false
40368374,JIMMY'S CORNER,Manhattan,140,WEST 44 STREET,10036,2122219510,AMERICAN,40.75661292367,-73.98433100434,MN17,105,4,false,5,2024-05-16,2026-04-20,14.0,21,A,14,4,false
40368555,IL CORTILE,Manhattan,123,MULBERRY STREET,10013,2122266060,ITALIAN,40.71789085064,-73.99810609883,MN24,102,1,false,2,2023-08-31,2025-10-15,13.0,13,A,4,4,false
40368577,DENNY'S PUB,Brooklyn,106,BEVERLY ROAD,11218,7184352156,AMERICAN,40.64293185629,-73.97886988161,BK41,312,39,false,4,2024-07-24,2026-07-23,16.75,13,A,12,6,false
40368581,MARIE'S CRISIS,Manhattan,59,GROVE STREET,10014,2122439323,AMERICAN,40.73313525167,-74.0032871242,MN23,102,3,false,2,2023-06-04,2025-12-16,7.0,5,A,4,1,false
40368632,NEW PARKWAY RESTAURANT,Brooklyn,7504,13 AVENUE,11228,7187454371,AMERICAN,40.62019577513,-74.00754646331,BK30,310,43,false,4,2023-04-24,2026-04-16,11.75,13,A,11,5,false
40368752,RAOUL'S,Manhattan,180,PRINCE STREET,10012,2129663518,FRENCH,40.72632002803,-74.00203484931,MN24,102,3,false,3,2023-05-26,2025-01-08,11.33,13,A,7,5,false
40368763,THE BROOK,Manhattan,111,EAST 54 STREET,10022,2127537020,AMERICAN,40.75942658741,-73.97154121128,MN19,105,4,false,2,2024-10-22,2026-07-15,15.5,26,A,7,4,false
40368801,MARBELLA,Queens,220-33,NORTHERN BOULEVARD,11361,7184230100,SPANISH,40.76160162571,-73.76075971827,QN46,411,19,false,3,2022-02-04,2024-12-08,6.67,2,A,6,2,false
40368809,P.J.' S,Queens,189-25,UNION TURNPIKE,11366,3472683989,AMERICAN,40.72953722639,-73.77996921794,QN41,408,23,false,3,2024-02-08,2026-03-24,11.33,8,A,8,3,false
40368824,DOUBLES CLUB,Manhattan,783,5 AVENUE,10022,2127519595,AMERICAN,40.76453214513,-73.97280972968,MN40,108,4,false,3,2022-03-09,2024-11-12,19.0,4,A,11,5,false
40368897,HATSUHANA,Manhattan,17,EAST 48 STREET,10017,2123553345,JAPANESE,40.75689168853,-73.97717319847,MN17,105,4,false,2,2023-06-26,2025-05-22,12.5,13,A,6,2,false
40369012,VALENTINO'S,Queens,71-47,KISSENA BOULEVARD,11367,7185916464,ITALIAN,40.72864414141,-73.81515402891,QN38,408,24,false,5,2023-09-06,2025-10-27,13.25,13,A,12,7,false
